"","placement","civ","player","score"
"1354",4,"EGYPT","Bot",16
"1355",1,"RUSSIA","Unknown Player",116
"1356",2,"GREECE","darth.morgoth",63
"1357",3,"CHINA","glorious_axolotl_84151",61
"1358",4,"AZTECS","Unknown Player",6
"1359",1,"CHINA","ivertebrate",115
"1360",2,"GREECE","Unknown Player",99
"1361",3,"RUSSIA","schnoodleboop",86
"1362",4,"ENGLAND","Bot",18
"1363",1,"AZTECS","brea0930",102
"1364",2,"CHINA","_oingo",79
"1365",3,"ENGLAND","bonjiri",31
"1366",1,"CHINA","herisscik",104
"1367",2,"GREECE","Unknown Player",85
"1368",3,"ARABIA","Bot",55
"1369",4,"RUSSIA","bijschuifkast",36
"1370",1,"CHINA","glorious_axolotl_84151",121
"1371",2,"GREECE","inkvisiitorriistan",86
"1372",3,"ENGLAND","Bot",39
"1373",4,"ARABIA","Bot",38
"1374",1,"ROME","bonjiri",106
"1375",2,"ENGLAND","brea0930",58
"1376",3,"FRANCE","_oingo",54
"1377",1,"ROME","bonjiri",110
"1378",2,"ARABIA","_oingo",51
"1379",3,"EGYPT","brea0930",43
"1380",1,"PERSIA","bonjiri",102
"1381",2,"AZTECS","_oingo",73
"1382",3,"FRANCE","brea0930",61
"1383",1,"ARABIA","brea0930",104
"1384",2,"ENGLAND","_oingo",76
"1385",3,"GREECE","bonjiri",29
"1386",1,"CHINA","herisscik",121
"1387",2,"GREECE","Unknown Player",120
"1388",3,"ENGLAND","michael8539",60
"1389",4,"ARABIA","Bot",16
"1390",1,"ROME","Unknown Player",113
"1391",2,"CHINA","herisscik",75
"1392",3,"FRANCE","domdom233",61
"1393",4,"EGYPT","Bot",42
"1394",5,"GREECE","michael8539",8
"1395",1,"FRANCE","Unknown Player",108
"1396",2,"CHINA","herisscik",74
"1397",3,"ARABIA","domdom233",12
"1398",4,"PERSIA","Bot",10
"1399",1,"ARABIA","sy.kron",102
"1400",2,"ROME","vinny1300",97
"1401",3,"ENGLAND","Bot",5
"1402",4,"PERSIA","Bot",2
"1403",1,"ENGLAND","Unknown Player",111
"1404",2,"PERSIA","inkvisiitorriistan",67
"1405",3,"FRANCE","Unknown Player",64
"1406",4,"AZTECS","Bot",40
"1407",5,"CHINA","Unknown Player",25
"1408",6,"ROME","modeselektor",24
"1409",7,"RUSSIA","Unknown Player",24
"1410",1,"ARABIA","puszekse",107
"1411",2,"EGYPT","Unknown Player",71
"1412",3,"ROME","vivi_2525",35
"1413",4,"ENGLAND","Bot",19
"1414",1,"CHINA","Unknown Player",121
"1415",2,"GREECE","Unknown Player",46
"1416",3,"ENGLAND","simonbreton",36
"1417",4,"ROME","spoonx2",5
"1418",1,"ROME","Unknown Player",100
"1419",2,"RUSSIA","spoonx2",58
"1420",3,"ENGLAND","Unknown Player",50
"1421",4,"CHINA","archld",31
"1422",5,"FRANCE","simonbreton",30
"1423",6,"AZTECS","Bot",28
"1424",7,"PERSIA","Bot",18
"1425",1,"PERSIA","Unknown Player",100
"1426",2,"CHINA","Unknown Player",80
"1427",3,"ARABIA","archld",54
"1428",4,"GREECE","lewis_laswell",50
"1429",5,"EGYPT","Bot",31
"1430",1,"CHINA","cdman678",113
