"","placement","civ","player","score"
"1524",3,"PERSIA","lewis_laswell",73
"1525",4,"AZTECS","Bot",28
"1526",1,"GREECE","glorious_axolotl_84151",120
"1527",2,"CHINA","bumbarcic",65
"1528",3,"EGYPT","Bot",46
"1529",4,"ROME","Bot",23
"1530",5,"ARABIA","Bot",13
"1531",1,"CHINA","glorious_axolotl_84151",108
"1532",2,"ENGLAND","Bot",65
"1533",3,"ARABIA","Bot",58
"1534",4,"FRANCE","bumbarcic",42
"1535",1,"RUSSIA","Unknown Player",114
"1536",2,"ROME","Unknown Player",76
"1537",3,"EGYPT","simonbreton",37
"1538",4,"ENGLAND","Unknown Player",34
"1539",5,"FRANCE","bumbarcic",25
"1540",6,"CHINA","glorious_axolotl_84151",12
"1541",1,"CHINA","leffebo",101
"1542",2,"ENGLAND","lord_dehf",93
"1543",3,"GREECE","Unknown Player",50
"1544",1,"EGYPT","moppedhupe",101
"1545",2,"AZTECS","lewis_laswell",80
"1546",3,"ROME","rschoogland",80
"1547",4,"RUSSIA","Unknown Player",3
"1548",1,"AZTECS","Unknown Player",104
"1549",2,"ENGLAND","mrevist",52
"1550",3,"FRANCE","konso1",45
"1551",4,"RUSSIA","Bot",19
"1552",1,"RUSSIA","hubertkrummbein",106
"1553",2,"CHINA","hilikus91",81
"1554",1,"ROME","spoonx2",103
"1555",2,"ENGLAND","Bot",41
"1556",3,"FRANCE","Bot",37
"1557",4,"GREECE","romanne_",31
"1558",5,"EGYPT","Unknown Player",17
"1559",1,"GREECE","Unknown Player",111
"1560",2,"AZTECS","puszekse",109
"1561",3,"EGYPT","ddatl",38
"1562",4,"CHINA","Unknown Player",32
"1563",5,"RUSSIA","Unknown Player",6
"1564",1,"PERSIA","peerles5",96
"1565",2,"ENGLAND","modeselektor",72
"1566",3,"ROME","Bot",72
"1567",4,"CHINA","Bot",50
"1568",5,"FRANCE","Bot",7
"1569",6,"AZTECS","Bot",4
"1570",1,"EGYPT","Bot",97
"1571",2,"AZTECS","Bot",86
"1572",3,"RUSSIA","modeselektor",83
"1573",4,"FRANCE","Bot",77
"1574",5,"ROME","Bot",46
"1575",6,"ENGLAND","peerles5",38
"1576",1,"ENGLAND","googlplex",139
"1577",2,"AZTECS","lewis_laswell",97
"1578",3,"EGYPT","Bot",53
"1579",4,"RUSSIA","Bot",28
"1580",5,"GREECE","Bot",12
"1581",1,"ENGLAND","heavypetter",113
"1582",2,"ROME","zarxow",73
"1583",3,"AZTECS",".yourlordandsaviour",50
"1584",4,"GREECE","razorwiresc2",44
"1585",5,"FRANCE","leffebo",2
"1586",1,"CHINA","Bot",106
"1587",2,"ARABIA","marcodakilla",102
"1588",3,"RUSSIA",".willbull",56
"1589",4,"ROME","Bot",39
"1590",1,"ROME","rschoogland",111
"1591",2,"ENGLAND","michael8539",65
"1592",3,"ARABIA","sy.kron",59
"1593",4,"RUSSIA","Bot",50
"1594",1,"RUSSIA",".yourlordandsaviour",118
"1595",2,"CHINA","heavypetter",93
"1596",3,"ROME","leffebo",71
"1597",4,"PERSIA","razorwiresc2",37
"1598",1,"EGYPT","sturgeon_general",130
"1599",2,"PERSIA","Bot",82
"1600",3,"GREECE","Bot",50
"1601",4,"FRANCE","jordskii",22
"1602",5,"RUSSIA","Bot",4
"1603",1,"GREECE","archld",104
"1604",2,"ROME","Unknown Player",70
"1605",3,"EGYPT","virtual_classic",54
"1606",4,"FRANCE","Bot",22
"1607",5,"CHINA","Unknown Player",16
"1608",1,"GREECE","goose2248",109
"1609",2,"AZTECS","moura01",71
"1610",3,"CHINA","kaisercortex",70
"1611",1,"FRANCE","Unknown Player",118
"1612",2,"CHINA","Bot",69
"1613",3,"GREECE","moppedhupe",59
"1614",4,"ROME","Unknown Player",48
"1615",5,"ENGLAND","riceratops",47
"1616",6,"RUSSIA","Unknown Player",41
"1617",1,"AZTECS","modeselektor",106
"1618",2,"PERSIA","Bot",86
"1619",3,"RUSSIA","peerles5",57
"1620",4,"ARABIA","Bot",49
"1621",5,"ENGLAND","Bot",47
"1622",6,"FRANCE","Bot",27
"1623",1,"CHINA","theuglyred",104
"1624",2,"EGYPT","sixskins",56
"1625",3,"ROME","glasssrabbit",51
"1626",1,"EGYPT","puszekse",104
"1627",2,"ENGLAND","Bot",57
"1628",3,"GREECE","Bot",27
"1629",4,"AZTECS","darth.morgoth",0
"1630",1,"CHINA","peerles5",123
"1631",2,"FRANCE","modeselektor",68
"1632",3,"ROME","Bot",63
"1633",4,"EGYPT","Bot",44
"1634",5,"GREECE","Bot",23
"1635",1,"RUSSIA","killsonwheels",118
"1636",2,"ROME","Bot",83
"1637",3,"AZTECS","Bot",79
"1638",4,"ENGLAND","earthalchemist",79
"1639",5,"CHINA","Bot",58
"1640",6,"FRANCE","Bot",54
"1641",7,"GREECE","rafael.o1234",42
"1642",8,"EGYPT","nu.meta",26
"1643",9,"PERSIA","Bot",21
"1644",1,"PERSIA","theuglyred",101
"1645",2,"CHINA","Bot",100
"1646",3,"AZTECS","glasssrabbit",82
"1647",4,"RUSSIA","Bot",49
"1648",5,"GREECE","sixskins",47
"1649",1,"AZTECS","ansam",103
"1650",2,"GREECE","timevir",77
"1651",3,"CHINA","Bot",3
"1652",1,"ARABIA","modeselektor",109
"1653",2,"ROME","Bot",79
"1654",3,"FRANCE","Bot",64
"1655",4,"AZTECS","Bot",51
"1656",5,"PERSIA","Bot",46
"1657",6,"GREECE","peerles5",43
"1658",7,"ENGLAND","Bot",4
"1659",1,"GREECE","timevir",100
"1660",2,"AZTECS","ansam",42
"1661",3,"EGYPT","Bot",31
"1662",4,"ROME","Bot",3
"1663",1,"GREECE","Bot",102
"1664",2,"RUSSIA","peerles5",77
"1665",3,"ENGLAND","Bot",65
"1666",4,"EGYPT","modeselektor",60
"1667",5,"CHINA","Bot",25
"1668",6,"ARABIA","Bot",3
"1669",1,"ROME","spoonx2",115
"1670",2,"EGYPT","michael8539",110
"1671",3,"ENGLAND","shawn0m0",73
"1672",4,"ARABIA","Bot",45
"1673",5,"AZTECS","Bot",17
"1674",1,"ROME","herisscik",120
"1675",2,"FRANCE","Unknown Player",93
"1676",3,"CHINA","glorious_axolotl_84151",60
"1677",4,"AZTECS","Bot",15
"1678",1,"AZTECS","Unknown Player",101
"1679",2,"RUSSIA","Unknown Player",51
"1680",3,"PERSIA","Bot",51
"1681",4,"EGYPT","shawn0m0",46
"1682",5,"ROME","Unknown Player",42
"1683",6,"GREECE","michael8539",36
"1684",1,"FRANCE","Unknown Player",96
"1685",2,"ARABIA","Unknown Player",95
"1686",3,"CHINA","herisscik",74
"1687",4,"ENGLAND","glorious_axolotl_84151",72
"1688",5,"RUSSIA","Unknown Player",62
"1689",6,"ROME","Bot",35
"1690",1,"CHINA","p_the_great",114
"1691",2,"ENGLAND","luffyel",57
"1692",3,"RUSSIA","stanleythai13",54
"1693",4,"FRANCE","Unknown Player",46
"1694",1,"RUSSIA","mfs780",109
"1695",2,"AZTECS","Bot",91
"1696",3,"CHINA","Bot",50
"1697",4,"ARABIA","mazaaya",44
"1698",5,"EGYPT","Bot",32
"1699",1,"RUSSIA","dommjuan",110
"1700",2,"CHINA","glorious_axolotl_84151",79
"1701",3,"ARABIA","googlplex",48
"1702",4,"AZTECS","Unknown Player",17
"1703",1,"ARABIA",".willbull",114
"1704",2,"RUSSIA","marcodakilla",105
"1705",3,"ROME","Bot",55
"1706",4,"PERSIA","Bot",16
"1707",1,"RUSSIA","simpleki",105
"1708",2,"GREECE","Bot",49
"1709",3,"FRANCE","Bot",39
"1710",4,"AZTECS","deroht",26
"1711",5,"ROME","Bot",26
"1712",6,"CHINA","Bot",5
"1713",1,"RUSSIA","bijschuifkast",105
"1714",2,"PERSIA","googlplex",55
"1715",3,"EGYPT","Bot",32
"1716",4,"AZTECS","Bot",2
"1717",1,"GREECE","Unknown Player",125
"1718",2,"CHINA","googlplex",86
"1719",3,"FRANCE","moppedhupe",45
"1720",4,"ARABIA","Unknown Player",22
"1721",5,"AZTECS","Bot",5
"1722",1,"CHINA","herisscik",133
"1723",2,"ROME","spoonx2",109
"1724",3,"EGYPT","Bot",21
"1725",4,"PERSIA","Bot",16
"1726",1,"AZTECS","googlplex",111
"1727",2,"EGYPT","Unknown Player",99
"1728",3,"FRANCE","brunogaia_lac",30
"1729",4,"ROME","Unknown Player",6
"1730",1,"ROME","googlplex",118
"1731",2,"FRANCE","brunogaia_lac",71
"1732",3,"CHINA","Bot",50
"1733",4,"PERSIA","Bot",38
"1734",5,"AZTECS","Bot",6
"1735",1,"EGYPT","googlplex",105
"1736",2,"CHINA","Unknown Player",52
"1737",3,"FRANCE","brunogaia_lac",31
"1738",4,"ROME","Bot",12
"1739",5,"GREECE","Bot",9
"1740",1,"AZTECS","googlplex",110
"1741",2,"RUSSIA","Unknown Player",78
"1742",3,"GREECE","Bot",30
"1743",4,"ROME","spoonx2",9
"1744",1,"CHINA","kaisercortex",116
"1745",2,"RUSSIA","goose2248",83
"1746",3,"ROME","moura01",48
"1747",1,"FRANCE","googlplex",133
"1748",2,"ROME","spoonx2",69
"1749",3,"AZTECS","Unknown Player",14
"1750",4,"CHINA","Bot",14
"1751",1,"CHINA","herisscik",104
"1752",2,"EGYPT","googlplex",69
"1753",3,"FRANCE","Bot",49
"1754",1,"RUSSIA","puszekse",111
"1755",2,"AZTECS","moppedhupe",49
"1756",3,"FRANCE","Unknown Player",0
"1757",1,"AZTECS","melon_limited",104
"1758",2,"ROME","Bot",84
"1759",3,"CHINA","Bot",56
"1760",4,"EGYPT","Butters78",51
"1761",5,"ENGLAND","Bot",35
"1762",6,"RUSSIA","Bot",5
"1763",1,"EGYPT","hubber_tanber",105
"1764",2,"ENGLAND","Bot",74
"1765",3,"RUSSIA","cream314",56
"1766",1,"CHINA","glorious_axolotl_84151",121
"1767",2,"ENGLAND","puszekse",96
"1768",3,"ARABIA","Bot",50
"1769",4,"EGYPT","Bot",47
"1770",1,"ROME","puszekse",115
"1771",2,"AZTECS","Unknown Player",71
"1772",3,"CHINA","glorious_axolotl_84151",58
"1773",4,"FRANCE","Unknown Player",3
"1774",1,"ROME","darth.morgoth",100
"1775",2,"GREECE","lewis_laswell",86
"1776",3,"CHINA","Unknown Player",76
"1777",4,"AZTECS","Bot",23
"1778",1,"PERSIA","darth.morgoth",101
"1779",2,"CHINA","Unknown Player",81
"1780",3,"AZTECS","Unknown Player",61
"1781",4,"FRANCE","Bot",55
"1782",5,"RUSSIA","myrmedon",43
"1783",1,"AZTECS","ansam",104
"1784",2,"GREECE","timevir",102
"1785",3,"ARABIA","Bot",5
"1786",4,"CHINA","Bot",3
"1787",5,"EGYPT","Bot",3
"1788",1,"RUSSIA","jahnosch89",105
"1789",2,"GREECE","Bot",66
"1790",3,"AZTECS","Bot",41
"1791",4,"FRANCE","kazimoo",33
"1792",1,"ROME","lewis_laswell",102
"1793",2,"CHINA","bumbarcic",96
"1794",3,"EGYPT","Unknown Player",95
"1795",4,"AZTECS","Bot",60
"1796",5,"PERSIA","inkvisiitorriistan",30
"1797",1,"CHINA",".willbull",108
"1798",2,"EGYPT","marcodakilla",86
"1799",3,"AZTECS","Bot",34
"1800",4,"ENGLAND","Bot",13
"1801",1,"GREECE","Unknown Player",103
"1802",2,"ROME","spoonx2",82
"1803",3,"CHINA","bumbarcic",78
"1804",4,"EGYPT","inkvisiitorriistan",72
"1805",1,"RUSSIA","Unknown Player",100
"1806",2,"GREECE","michael8539",67
"1807",3,"CHINA","darth.morgoth",55
"1808",4,"AZTECS","Unknown Player",1
"1809",1,"ROME","spoonx2",107
"1810",2,"FRANCE","stygn",39
"1811",3,"EGYPT","Bot",36
"1812",4,"RUSSIA","myrmedon",33
"1813",1,"EGYPT","darth.morgoth",116
"1814",2,"GREECE","michael8539",79
"1815",3,"RUSSIA","Bot",38
"1816",4,"AZTECS","Bot",34
"1817",5,"CHINA","Bot",21
"1818",1,"GREECE","inkvisiitorriistan",102
"1819",2,"FRANCE","Moppedhupe|UTC+2",81
"1820",3,"ARABIA","Bot",36
"1821",4,"CHINA","Unknown Player",1
"1822",1,"GREECE","timevir",104
"1823",2,"AZTECS","ansam",90
"1824",3,"EGYPT","Bot",39
"1825",4,"FRANCE","Bot",38
"1826",5,"ARABIA","Bot",4
"1827",1,"ROME","darth.morgoth",107
"1828",2,"CHINA","herisscik",66
"1829",3,"RUSSIA","Unknown Player",51
"1830",4,"PERSIA","Bot",42
"1831",1,"CHINA","bitten1119",112
"1832",2,"AZTECS","vivi_2525",91
"1833",3,"ENGLAND","nanaris",55
"1834",4,"EGYPT","reopa12",38
"1835",1,"CHINA","konso1",105
"1836",2,"ENGLAND","mrevist",76
"1837",3,"EGYPT","Unknown Player",65
"1838",4,"GREECE","Bot",17
"1839",5,"AZTECS","Bot",3
"1840",1,"CHINA","Unknown Player",106
"1841",2,"RUSSIA","konso1",82
"1842",3,"EGYPT","Unknown Player",78
"1843",4,"ENGLAND","mrevist",8
"1844",1,"ROME","Unknown Player",115
"1845",2,"CHINA","herisscik",104
"1846",3,"RUSSIA","Unknown Player",66
"1847",4,"AZTECS","Unknown Player",46
"1848",5,"FRANCE","paulda74",43
"1849",6,"EGYPT","Unknown Player",41
"1850",7,"PERSIA","Unknown Player",9
"1851",1,"AZTECS","vivi_2525",105
"1852",2,"GREECE","Bot",63
"1853",3,"CHINA","reopa12",57
"1854",4,"ENGLAND","nanaris",39
"1855",1,"RUSSIA","bitten1119",106
"1856",2,"ROME","vivi_2525",70
"1857",3,"CHINA","Bot",69
"1858",4,"ENGLAND","Bot",49
"1859",1,"ENGLAND","melon_limited",86
"1860",2,"CHINA","Bot",57
"1861",3,"ROME","Butters78",34
"1862",4,"RUSSIA","Bot",19
"1863",1,"ROME","lewinsky912",101
"1864",2,"CHINA","Bot",58
"1865",3,"ENGLAND","sturgeon_general",27
"1866",4,"AZTECS","jordskii",19
"1867",1,"RUSSIA","modeselektor",103
"1868",2,"ROME","destrianiv",99
"1869",3,"EGYPT","Bot",74
"1870",4,"AZTECS","peerles5",19
"1871",1,"GREECE","Unknown Player",121
"1872",2,"ROME","Unknown Player",59
"1873",3,"AZTECS","Unknown Player",43
"1874",4,"EGYPT","ddatl",41
"1875",5,"FRANCE","drbofa.",28
"1876",1,"CHINA","cal9157",113
"1877",2,"RUSSIA","fodyasquela",63
"1878",1,"EGYPT","Bot",101
"1879",2,"RUSSIA","peerles5",98
"1880",3,"ROME","modeselektor",85
"1881",4,"ENGLAND","Bot",76
"1882",5,"FRANCE","Bot",29
"1883",6,"GREECE","Bot",12
"1884",1,"ROME","peratle",100
"1885",2,"EGYPT","Bot",70
"1886",3,"ARABIA","archld",36
"1887",1,"PERSIA","Moppedhupe|UTC+2",107
"1888",2,"ROME","Unknown Player",93
"1889",3,"FRANCE","drbofa.",78
"1890",4,"AZTECS","Bot",44
"1891",5,"RUSSIA","Bot",17
"1892",1,"ROME","fretts",105
"1893",2,"FRANCE","noobinatorz",52
"1894",3,"ENGLAND","Bot",3
"1895",1,"PERSIA","Unknown Player",102
"1896",2,"CHINA","archld",51
"1897",3,"ROME","squiid",34
"1898",4,"ARABIA","Bot",23
"1899",1,"ROME","timevir",107
"1900",2,"AZTECS","ansam",70
"1901",3,"FRANCE","Bot",60
"1902",4,"EGYPT","Bot",10
"1903",5,"ENGLAND","Bot",4
"1904",1,"RUSSIA","reas90",101
"1905",2,"ROME","Bot",71
"1906",3,"ENGLAND","spikedjester",69
"1907",4,"GREECE","Bot",65
"1908",5,"CHINA","Bot",57
"1909",6,"AZTECS","Bot",57
"1910",7,"PERSIA","nollasuoja",52
"1911",8,"ARABIA","Bot",21
"1912",1,"FRANCE","drbofa.",108
"1913",2,"EGYPT","Unknown Player",48
"1914",3,"RUSSIA","sazankageryosu",5
"1915",4,"ENGLAND","Bot",2
"1916",1,"FRANCE","Unknown Player",128
"1917",2,"PERSIA","Unknown Player",107
"1918",3,"ROME","trontroland",32
"1919",4,"GREECE","Unknown Player",29
"1920",5,"ENGLAND","Bot",28
"1921",6,"CHINA","archld",25
"1922",1,"FRANCE","master_pain91",103
"1923",2,"RUSSIA","Bot",60
"1924",3,"ROME","Bot",51
"1925",4,"GREECE","michael8539",49
"1926",5,"EGYPT","ddatl",1
"1927",1,"ROME","daf1851",105
"1928",2,"FRANCE","Unknown Player",103
"1929",3,"ENGLAND","queunivesse",102
"1930",4,"PERSIA","tyrioneru",93
"1931",5,"ARABIA","obimaxsus",47
"1932",1,"ROME","timevir",99
"1933",2,"AZTECS","ansam",89
"1934",3,"GREECE","Bot",58
"1935",4,"PERSIA","Bot",34
"1936",5,"RUSSIA","Bot",4
"1937",1,"CHINA","glorious_axolotl_84151",105
"1938",2,"GREECE","Unknown Player",80
"1939",3,"FRANCE","xenotrigger",79
"1940",4,"ROME","Unknown Player",39
"1941",5,"AZTECS","Unknown Player",34
"1942",1,"ROME","timevir",101
"1943",2,"AZTECS","ansam",99
"1944",3,"RUSSIA","Bot",59
"1945",4,"ENGLAND","Bot",21
"1946",5,"FRANCE","Bot",12
"1947",1,"ARABIA","googlplex",120
"1948",2,"RUSSIA","Bot",54
"1949",3,"GREECE","Unknown Player",53
"1950",4,"ENGLAND","Bot",50
"1951",5,"CHINA","n_gent",38
"1952",1,"GREECE","khlass",112
"1953",2,"ENGLAND","faerine",92
"1954",3,"PERSIA","Bot",69
"1955",4,"FRANCE","Bot",51
"1956",5,"CHINA","Bot",50
"1957",6,"RUSSIA","Bot",30
"1958",7,"ARABIA","Bot",21
"1959",1,"GREECE","Unknown Player",126
"1960",2,"CHINA","Unknown Player",93
"1961",3,"EGYPT","virtual_classic",70
"1962",4,"FRANCE","konso1",69
"1963",5,"ARABIA","Bot",4
"1964",1,"EGYPT","khlass",102
"1965",2,"ROME","faerine",86
"1966",3,"ARABIA","Bot",36
"1967",4,"RUSSIA","Bot",23
"1968",5,"AZTECS","Bot",17
"1969",1,"FRANCE","domdom233",108
"1970",2,"ROME","Moppedhupe|UTC+2",70
"1971",3,"GREECE","Unknown Player",52
"1972",4,"RUSSIA","konso1",27
"1973",1,"AZTECS","der_kuckuk",103
"1974",2,"ARABIA","blueflameflamehunt",39
"1975",1,"EGYPT","Moppedhupe|UTC+2",113
"1976",2,"RUSSIA","konso1",76
"1977",3,"GREECE","Bot",58
"1978",4,"ENGLAND","Unknown Player",15
"1979",1,"PERSIA","Moppedhupe|UTC+2",121
"1980",2,"GREECE","michael8539",115
"1981",3,"FRANCE","Bot",50
"1982",4,"AZTECS","Bot",8
"1983",1,"PERSIA","Bot",111
"1984",2,"AZTECS","modeselektor",72
"1985",3,"CHINA","peerles5",64
"1986",4,"RUSSIA","Bot",24
"1987",1,"CHINA","herisscik",120
"1988",2,"ROME","Unknown Player",87
"1989",3,"PERSIA","Bot",75
"1990",4,"ARABIA","Bot",54
"1991",5,"ENGLAND","b0redbread",2
"1992",1,"RUSSIA","Bot",107
"1993",2,"CHINA","nomadon",71
"1994",3,"ROME","rurusound",68
"1995",4,"PERSIA","Bot",39
"1996",1,"PERSIA","bonjiri",110
"1997",2,"ENGLAND","brea0930",86
"1998",3,"RUSSIA","_oingo",60
"1999",4,"GREECE","Bot",20
"2000",1,"FRANCE","Bot",88
"2001",2,"EGYPT","blueflameflamehunt",70
"2002",3,"ROME","der_kuckuk",54
"2003",4,"GREECE","Bot",35
"2004",5,"ENGLAND","Bot",5
"2005",1,"EGYPT","_oingo",102
"2006",2,"CHINA","brea0930",57
"2007",3,"PERSIA","bonjiri",44
"2008",1,"CHINA","Unknown Player",112
"2009",2,"RUSSIA","Unknown Player",69
"2010",3,"EGYPT","Unknown Player",54
"2011",4,"FRANCE","paulda74",49
"2012",5,"ARABIA","Bot",30
"2013",6,"PERSIA","Bot",18
"2014",7,"GREECE","keitoushi",7
"2015",1,"ENGLAND","vivi_2525",101
"2016",2,"PERSIA","hoshinoru",97
"2017",3,"RUSSIA","bitten1119",69
"2018",4,"CHINA","Bot",50
"2019",5,"ROME","Bot",47
"2020",6,"FRANCE","Bot",43
"2021",7,"GREECE","Bot",36
"2022",1,"RUSSIA","bitten1119",106
"2023",2,"AZTECS","vivi_2525",79
"2024",3,"ROME","hoshinoru",41
"2025",1,"ROME","Bot",103
"2026",2,"RUSSIA","bagelsarius",91
"2027",3,"AZTECS","hubber_tanber",66
"2028",4,"GREECE","Bot",65
"2029",5,"EGYPT","cream314",56
"2030",6,"ENGLAND","Bot",54
"2031",7,"CHINA","Bot",52
"2032",8,"PERSIA","Bot",15
"2033",9,"FRANCE","Bot",2
"2034",1,"ARABIA","sy.kron",103
"2035",2,"EGYPT","Bot",75
"2036",3,"CHINA","Bot",70
"2037",4,"ROME","vinny1300",67
"2038",5,"ENGLAND","Bot",24
"2039",6,"RUSSIA","Bot",5
"2040",1,"PERSIA","hoshinoru",103
"2041",2,"AZTECS","Bot",93
"2042",3,"RUSSIA","bitten1119",84
"2043",4,"FRANCE","Bot",78
"2044",5,"ENGLAND","Bot",8
"2045",1,"ARABIA","modeselektor",101
"2046",2,"AZTECS","Bot",101
"2047",3,"GREECE","Bot",94
"2048",4,"PERSIA","Bot",67
"2049",5,"CHINA","Bot",55
"2050",6,"ENGLAND","peerles5",34
"2051",1,"AZTECS","Bot",105
"2052",2,"RUSSIA","Bot",98
"2053",3,"FRANCE","Bot",61
"2054",4,"EGYPT","Bot",51
"2055",5,"ARABIA","hubber_tanber",51
"2056",6,"ENGLAND","cream314",49
"2057",7,"GREECE","Bot",38
"2058",1,"FRANCE","drbofa.",108
"2059",2,"RUSSIA","astein10",2
"2060",1,"GREECE","Bot",109
"2061",2,"EGYPT","Bot",66
"2062",3,"ROME","modeselektor",51
"2063",4,"AZTECS","peerles5",38
"2064",5,"RUSSIA","Bot",32
"2065",1,"AZTECS",".coalsack",134
"2066",2,"ENGLAND","sunstone_",120
"2067",3,"RUSSIA","enivac",84
"2068",4,"GREECE","asx200.",62
"2069",1,"CHINA","peerles5",107
"2070",2,"FRANCE","modeselektor",74
"2071",3,"PERSIA","Bot",51
"2072",4,"EGYPT","Bot",50
"2073",5,"ARABIA","Bot",9
"2074",1,"CHINA","Unknown Player",116
"2075",2,"ROME","Unknown Player",48
"2076",3,"RUSSIA","Bot",42
"2077",4,"FRANCE","cal9157",37
"2078",5,"PERSIA","fodyasquela",35
"2079",6,"EGYPT","Unknown Player",33
"2080",7,"AZTECS","Bot",28
"2081",1,"PERSIA","leepinleemur",107
"2082",2,"GREECE","aclockworkknight",93
"2083",3,"ROME","mandarin7fim",45
"2084",4,"ARABIA","copperbasilisk",10
"2085",1,"PERSIA","asx200.",115
"2086",2,"FRANCE","enivac",84
"2087",3,"ROME","sunstone_",52
"2088",4,"GREECE",".coalsack",51
"2089",1,"CHINA","Unknown Player",100
"2090",2,"ROME","Unknown Player",76
"2091",3,"GREECE","puszekse",70
"2092",4,"FRANCE","googlplex",49
"2093",5,"AZTECS","Bot",40
"2094",1,"RUSSIA","googlplex",102
"2095",2,"PERSIA","Unknown Player",64
"2096",3,"CHINA","Unknown Player",61
"2097",4,"AZTECS","Bot",34
"2098",5,"FRANCE","herisscik",3
"2099",1,"PERSIA","Bot",113
"2100",2,"EGYPT","dranix22",90
"2101",3,"GREECE","Bot",58
"2102",4,"AZTECS","bobace22.",58
"2103",5,"ARABIA","TeddyBearIII",2
"2104",1,"CHINA","herisscik",124
"2105",2,"AZTECS","Unknown Player",43
"2106",3,"GREECE","Bot",42
"2107",4,"ENGLAND","peratle",29
"2108",1,"EGYPT","chrissi7787",107
"2109",2,"ROME","d3agledenso",74
"2110",3,"GREECE","Bot",28
"2111",1,"ARABIA","zefyoco",101
"2112",2,"ROME","Bot",84
"2113",3,"EGYPT","Bot",83
"2114",4,"RUSSIA","Bot",61
"2115",5,"CHINA","Bot",57
"2116",6,"FRANCE","cho.fr",54
"2117",7,"GREECE","Bot",5
"2118",1,"ARABIA","lordsson",111
"2119",2,"CHINA","googlplex",85
"2120",3,"AZTECS","Bot",6
"2121",4,"PERSIA","Bot",2
"2122",1,"FRANCE","domdom233",117
"2123",2,"ENGLAND","Bot",53
"2124",3,"CHINA","herisscik",22
"2125",1,"FRANCE","googlplex",115
"2126",2,"PERSIA","lordsson",32
"2127",3,"RUSSIA","Bot",27
"2128",4,"ROME","Bot",26
"2129",1,"FRANCE","cho.fr",101
"2130",2,"ROME","zefyoco",57
"2131",3,"RUSSIA","Bot",56
"2132",4,"PERSIA","Bot",48
"2133",5,"ARABIA","Bot",38
"2134",6,"CHINA","Bot",32
"2135",1,"CHINA","herisscik",105
"2136",2,"FRANCE","domdom233",69
"2137",3,"ENGLAND","sickeduck",57
"2138",4,"GREECE","Bot",24
"2139",5,"EGYPT","Unknown Player",15
"2140",1,"ARABIA","master_pain91",114
"2141",2,"EGYPT","domdom233",110
"2142",3,"ROME","Unknown Player",67
"2143",4,"FRANCE","Unknown Player",63
"2144",1,"RUSSIA","cho.fr",103
"2145",2,"ROME","Bot",65
"2146",3,"CHINA","Bot",41
"2147",4,"ARABIA","Bot",29
"2148",5,"GREECE","Bot",28
"2149",6,"FRANCE","zefyoco",22
"2150",1,"CHINA","herisscik",117
"2151",2,"PERSIA","Unknown Player",80
"2152",3,"FRANCE","domdom233",52
"2153",4,"ARABIA","master_pain91",37
"2154",5,"EGYPT","Bot",28
"2155",1,"PERSIA","tiekey",108
"2156",2,"CHINA","herisscik",82
"2157",3,"FRANCE","domdom233",51
"2158",4,"RUSSIA","Unknown Player",39
"2159",5,"GREECE","Bot",3
"2160",1,"ARABIA","tiekey",125
"2161",2,"FRANCE","domdom233",91
"2162",3,"EGYPT","Bot",15
"2163",4,"CHINA","Bot",1
"2164",1,"AZTECS","Unknown Player",114
"2165",2,"ARABIA","puszekse",85
"2166",3,"FRANCE","Bot",27
"2167",4,"ROME","michael8539",6
"2168",1,"FRANCE","Unknown Player",120
"2169",2,"ROME","puszekse",32
"2170",3,"EGYPT","Moppedhupe|UTC+2",16
"2171",4,"CHINA","Unknown Player",4
"2172",1,"RUSSIA","bitten1119",102
"2173",2,"PERSIA","hoshinoru",96
"2174",3,"ROME","vivi_2525",73
"2175",4,"FRANCE","reopa12",61
"2176",5,"ENGLAND","nanaris",49
"2177",1,"PERSIA","Moppedhupe|UTC+2",101
"2178",2,"ARABIA","Unknown Player",93
"2179",3,"ROME","Unknown Player",60
"2180",4,"AZTECS","puszekse",49
"2181",5,"FRANCE","djidanefreed",23
"2182",6,"EGYPT","Bot",11
"2183",1,"RUSSIA","puszekse",103
"2184",2,"ROME","Unknown Player",101
"2185",3,"CHINA","Unknown Player",30
"2186",4,"FRANCE","konso1",29
"2187",1,"ROME","vivi_2525",101
"2188",2,"AZTECS","hoshinoru",62
"2189",3,"ENGLAND","nanaris",56
"2190",4,"EGYPT","reopa12",45
"2191",5,"CHINA","bitten1119",43
"2192",1,"FRANCE","sunstone_",85
"2193",2,"GREECE",".coalsack",46
"2194",3,"PERSIA","enivac",43
"2195",4,"ROME","asx200.",33
"2196",1,"ENGLAND","fodyasquela",112
"2197",2,"FRANCE","cal9157",86
"2198",3,"ROME","Bot",47
"2199",4,"GREECE","Bot",34
"2200",5,"AZTECS","Bot",27
"2201",1,"ENGLAND","modeselektor",100
"2202",2,"AZTECS","Bot",92
"2203",3,"RUSSIA","peerles5",68
"2204",4,"CHINA","Bot",58
"2205",5,"GREECE","Bot",23
"2206",1,"CHINA","peerles5",101
"2207",2,"ARABIA","modeselektor",90
"2208",3,"AZTECS","Bot",37
"2209",4,"PERSIA","Bot",22
"2210",1,"GREECE","inkvisiitorriistan",130
"2211",2,"CHINA","bumbarcic",54
"2212",3,"ROME","Unknown Player",17
"2213",4,"ARABIA","Unknown Player",0
"2214",1,"EGYPT","master_pain91",100
